id,collection,dc:title,dc:description,dc:format,dcat.Distribution.downloadURL,dc:source,foaf:homePage,dct:SizeOrDuration,dc:relation,dc.relation.uri
+,123456789/293169,System_CZFS,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmUsyC4H8Yyg1RbLmEZGXJamt5V7L4WzLe1pyBtd1cAYSg,LOD Laundromat,https://github.com/LOD-Laundromat,1368,System_CZFS|System_CZFS|System_CZFS,QmQfkL9cWboJYiTqqKPi7C5G9Tpescn6bYJHPwKcrm1QrN|QmTn1B7g5E8NXE2DY37SJLjwZfpRnwCRbFoy2x1bVMpbRg|QmPEXghn6398NpHLNwY7u4EzdkUXXobbCMN86cAeVaswXk
+,123456789/293169,System_C5508,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,Qmb9KPkLcbUnMxsrTaQnfvQSRJbDCbQGGtpNMRv71V6qEF,LOD Laundromat,https://github.com/LOD-Laundromat,6240,System_C5508|System_C5508|System_C5508|System_C5508,QmfVSrFoyqga5GjX8NhznreonFxt2HcXFRPuCU8LgXLnVC|QmWcUyPaoD23ttk6py3Aj2R68RBMPhowVmFuLsbFrEM9V8|Qmf1CiaPi3HXFsXTio9jy45z4fswKh5hp8niMahwsPKo7L|QmQKHnQCXWaqXhUVEfxZidwpFvnLEYWTedcMEALbbmRx4u
+,123456789/293169,System_BYFO3,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmUJUHrjvfKhqqqtZDk67iNqDRCzcRAU24htGf2Yw9pHDx,LOD Laundromat,https://github.com/LOD-Laundromat,1560,System_BYFO3|System_BYFO3|System_BYFO3|System_BYFO3|System_BYFO3|System_BYFO3|System_BYFO3,QmQfj1ZwoXUyWAomBcKHF1ZqvprZr6CCuLBk9kxn9rdtuu|Qme7o52BeLzDDk8cXuedfwWDCvL2zr6YttZMvcPpfgXBhU|QmcTGyq5V5ZXFcJYLpB77pecAVMnPjxRQJQ32DyiA4Y5tx|QmWBUxBMkDqFnc2ovrSgDbmSc5iXTf3YUywgWxsbMmgDFk|QmVceXcBY4iyWTDy56zKsYWLBdWAyPQcPLmeyLrGBJSR6Y|QmduMppWhdSisyEmaBhCYci3Sy5GfpM5KcVRDPrSsWYUzb|QmWBm7byYvam3Z6QDH219wDnEvsiHoF2aWpsMjhNhYQsoz
+,123456789/293169,System_KAYS,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmWU6zGH2AY6zdcFMA7x4nvtdZpGxp7iMbgNqfeDMnCKAG,LOD Laundromat,https://github.com/LOD-Laundromat,3920,System_KAYS|System_KAYS|System_KAYS|System_KAYS|System_KAYS,QmVSqfEBCyRyYMxxuPrJV5qMk6Cm4Jm3tFnfMEtUiXskGE|Qmen9LehinnUVUUewTgXqzKHw9ZmDzYoFavMkE7drS4q6x|QmYH1bHZ5uu2rUY2RVKnsz8q6rLa4Zrnxy4yiAW3i1B5Bs|QmcsjHKCbqbw6ZwwYeX8jR5cDdBh9d2e4VX7yQS9ecSwKG|Qmb7LoST9qstmvXZLM72d1BNuCoKRZsSXSepbwrN3D7dUn
+,123456789/293169,System_KSRQ,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmevtL4tqWHepz3g9xgUDcC73NVbexLh74EVqKQ66uozNK,LOD Laundromat,https://github.com/LOD-Laundromat,2421,System_KSRQ|System_KSRQ|System_KSRQ|System_KSRQ|System_KSRQ|System_KSRQ|System_KSRQ,QmRgQE66XASeSwv8TgXyShrBsvJdestHHSdyfMaj66JNu7|QmSiTqPxtvKxxhHVgREfccArjsgQ7MFVF6BTm5PMRr8NZ1|QmQ7HVU7K5ksELjTYcvcVtcrHaNj5oV1ng8hnooVxwrDWi|QmdZWmxnHqWuhScQAMXPYhZxHxjQgaAB9HUMTF6WSkrsye|QmdWrnAShkbWFoYaxkiNDemGW9jJ6AcNnt9gTyYAcodcJy|QmQqSEsuQ83NPmxYWvjU7rovhkYqHccSTntbxKZNm8c62y|QmRbXXXbmQRjNNzRffDEkWCFpMixcAXmkRZjBndSxqMX6z
+,123456789/293169,System_KAIA2,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmTWrx37wq68sup8k8uGH6rdgwVJyCgEN5mQvoMTw98Qc5,LOD Laundromat,https://github.com/LOD-Laundromat,1992,System_KAIA2|System_KAIA2|System_KAIA2|System_KAIA2|System_KAIA2,QmNM3xHm4TQcYhvzU5UYfsJwvLV2jYno8LsKqNHNHzVgL8|QmZfvSnFGhfomisqXEvfbpSFsJTwWCXshcU2T9y6Wa1NtF|QmNcK8W8uBduNvXqZa9CnvnZWcAVdjFxeNb28EYY7BQm7F|QmPhbTAHUfcA8XYNFGbeXQhDy3btEBipC7aU1VDCSHC3z5|QmW41GcmfPyFV2j7nKZDD5TJxEKvgnGPrRU5evjbXXFq34
+,123456789/293169,System_PASC,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmWN1EPwAwMEZPP5SFTEv2BkdELyYQx7qbY5Y2okZ1CDxE,LOD Laundromat,https://github.com/LOD-Laundromat,2218,System_PASC|System_PASC|System_PASC,QmT6DPvtAbZUDDjeanJbXuTRYpWtmo6S7J6WDRzUAyX8sn|QmQXzjqGhXA8surozYLzD1QKBE1iz9onbHKyf7CCkStbwY|QmezNyfsxJsoMh1zzSSEfXELkcWuphrzQN4DRJGA7Sw7X4
+,123456789/293169,System_NZAC1,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmfQEj5mtZjQSU9L2FhRNijYFGNrdzQJ8x5JHEsXeQqzpr,LOD Laundromat,https://github.com/LOD-Laundromat,1992,System_NZAC1|System_NZAC1|System_NZAC1|System_NZAC1|System_NZAC1|System_NZAC1,Qme6vfa4qmj3S4wvBJvUNRKvfrj8Tp2EQZ3XGCd8g8UHiw|QmVFgeDQz6LzoQgZ6WCvvT8CjD59hU7iRPmKnbHec2S4kP|QmSvDSP1SaJWvrmuGyoQFwXvvSr2tWNZFBHPk3masejWBo|QmXgbapCbRPC38RDeUcCmyN58ezw9U5SsXTK8g5rKaPQhx|QmZwr8jic1H922worm39zpdGJEmThNnK15gvaFW22LpwPP|QmUzdSHEQqT8jP5DNzBJbtk4xb8MnqsYwFrNC3HbpMyb7x
+,123456789/293169,System_C1274,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmYAxpm3ei4bPur4r58Eaaqce8vwjbxtvqpSMkWyDxEhTq,LOD Laundromat,https://github.com/LOD-Laundromat,4371,System_C1274|System_C1274,QmQZ7w9rfMmjquLyuFcp1tdimwVPMFqGJMR5roVmcGfDvS|QmeESHfKMPaMGYzu9MMuuW5RqUi3GngupzEXcoe7N89e9v
+,123456789/293169,System_C9163,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmYhL9GBdCi4Qb1j5PAfRrM7svMJpgWbnF3bGquEuXTinf,LOD Laundromat,https://github.com/LOD-Laundromat,6110,System_C9163|System_C9163|System_C9163,Qmeznfm5FDheSdQVUcfUpq546zszjqynfk7LXSk8r1s7aC|QmUZjw5fu4tdn3PBSNqZZ3j8y11XNfnqwCgRrFFRnCiLFS|QmNY4tcq9V4hPyKp7LXMnSY75T44YeS7C88ktMAuFUAv67
